date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
1989-06-03,,Hannover 96,2–2,Nürnberg,,,2.0,2.0
1989-06-03,,Leverkusen,0–0,Stuttgart,,,0.0,0.0
1989-06-03,,Hamburger SV,1–1,Kaiserslautern,,,1.0,1.0
1989-06-03,,Dortmund,2–1,Bochum,,,2.0,1.0
1989-06-03,,Werder Bremen,2–0,Eint Frankfurt,,,2.0,0.0
1989-06-03,,Bayern Munich,5–0,Uerdingen,,,5.0,0.0
1989-06-03,,M'Gladbach,1–1,Karlsruher,,,1.0,1.0
1989-06-06,,S'gart Kickers,0–0,Köln,,,0.0,0.0
,,,,,,,,
1989-06-10,,Stuttgart,2–1,M'Gladbach,,,2.0,1.0
1989-06-10,,Kaiserslautern,0–3,Mannheim,,,0.0,3.0
1989-06-10,,Karlsruher,1–0,Werder Bremen,,,1.0,0.0
1989-06-10,,Hamburger SV,1–1,Leverkusen,,,1.0,1.0
1989-06-10,,Uerdingen,1–3,S'gart Kickers,,,1.0,3.0
1989-06-10,,Eint Frankfurt,2–1,Dortmund,,,2.0,1.0
1989-06-10,,Köln,4–2,St Pauli,,,4.0,2.0
1989-06-10,,Bochum,1–3,Hannover 96,,,1.0,3.0
1989-06-10,,Nürnberg,2–1,Bayern Munich,,,2.0,1.0
,,,,,,,,
1989-06-17,,Hannover 96,1–1,Eint Frankfurt,,,1.0,1.0
1989-06-17,,Werder Bremen,3–0,Stuttgart,,,3.0,0.0
1989-06-17,,S'gart Kickers,1–0,Nürnberg,,,1.0,0.0
1989-06-17,,Bayern Munich,5–0,Bochum,,,5.0,0.0
1989-06-17,,M'Gladbach,0–4,Hamburger SV,,,0.0,4.0
1989-06-17,,Leverkusen,0–1,Kaiserslautern,,,0.0,1.0
1989-06-17,,St Pauli,5–1,Uerdingen,,,5.0,1.0
1989-06-17,,Dortmund,3–2,Karlsruher,,,3.0,2.0
1989-06-17,,Mannheim,2–1,Köln,,,2.0,1.0
1989-07-28,,Kaiserslautern,2–1,M'Gladbach,,,2.0,1.0
1989-07-28,,Uerdingen,3–0,Homburg,,,3.0,0.0
1989-07-29,,Düsseldorf,1–1,Hamburger SV,,,1.0,1.0
1989-07-29,,Bochum,0–1,Köln,,,0.0,1.0
